classes,Cell ID,Nuclear volume (fL),Cellular volume (fL),Nuclear surface area (micrometers squared),Cellular surface area (micrometers squared),Radial proximity (unitless),Apical proximity (unitless)
Beta actin,AICS-16_33_6,19.09224,41.31648,41.96791524,94.529895,0.8134056,-0.4564347
Beta actin,AICS-16_34_4,27.66096,77.15304,52.86089496,153.129438,0.9288929,-0.8496863
Beta actin,AICS-16_34_6,13.04208,37.9944,32.8957458,92.11554948,0.8722394,-0.9278004
Beta actin,AICS-16_34_7,13.45356,36.94572,33.15172104,84.8057808,0.932533,-0.9234542
Beta actin,AICS-16_34_11,16.23564,35.76204,36.43423596,75.23952828,0.7957796,-0.7066106
Beta actin,AICS-16_35_1,17.74548,41.64264,40.26303936,94.64014908,0.9160324,-0.4747801
Beta actin,AICS-16_35_4,25.18884,63.20052,50.9251746,127.3708164,0.9802621,-0.7290738
Beta actin,AICS-16_35_5,20.52432,50.44464,44.07665256,109.76882,0.9518583,-0.6009654
Beta actin,AICS-16_35_6,22.05144,51.975,44.79592308,119.203494,0.9170113,-0.6860802
Beta actin,AICS-16_36_1,16.21728,49.11408,37.50638472,99.02362176,0.939796,-0.9417483
Beta actin,AICS-16_36_2,20.871,48.7026,43.39290732,108.1893302,0.9137983,-0.736065
Beta actin,AICS-16_36_6,22.61196,58.4604,46.00479528,116.2512059,0.9723549,-0.5322608
Beta actin,AICS-16_36_8,4.1796,37.57104,16.58631324,69.3821988,0.9981191,-0.9845904
Beta actin,AICS-16_36_9,8.42616,38.06568,24.58486728,70.46177388,0.6966647,-0.1740697
Beta actin,AICS-16_36_10,28.78524,72.12888,57.22634892,143.8964736,0.9214131,-0.3404218
Beta actin,AICS-16_37_1,30.97872,73.92924,57.28747056,139.622382,0.9511939,-0.8024993
Beta actin,AICS-16_37_2,14.95152,38.5722,34.35506424,83.18586528,0.927318,-0.5991449
Beta actin,AICS-16_37_3,21.19068,53.1576,43.0350006,104.293364,0.9462024,-0.3603372
Beta actin,AICS-16_37_4,21.52332,47.73168,44.9139294,107.5926871,0.8626282,-0.72467
Beta actin,AICS-16_37_6,19.80072,50.10012,42.1443078,104.4012203,0.9410313,-0.8577406
Beta actin,AICS-16_37_7,26.31312,59.1786,50.92827084,118.255998,0.8875311,-0.7426184
Beta actin,AICS-16_37_8,19.62792,46.45944,43.02594468,103.6076051,0.859413,-0.8521807
Beta actin,AICS-16_38_1,14.0454,42.2226,38.8882506,103.2955716,0.8739451,-0.8289179
Beta actin,AICS-16_38_4,20.2608,47.04588,41.82487128,105.687999,0.9101208,-0.6098148
Beta actin,AICS-16_38_8,38.78496,108.26244,67.86807924,217.8886944,0.9428362,-0.8724275
Beta actin,AICS-16_39_1,15.85224,42.1902,35.91406764,85.8270162,0.8953828,-0.9272058
Beta actin,AICS-16_39_2,30.17304,80.4114,58.61031,154.5417192,0.9340225,-0.8120228
Beta actin,AICS-16_39_3,18.01224,33.75216,41.33281356,89.16267936,0.7413511,-0.7109042
Beta actin,AICS-16_39_4,18.05868,50.328,39.88430868,116.1802601,0.923889,-0.8626021
Beta actin,AICS-16_39_5,20.03724,44.38044,42.15031404,101.8184789,0.8472167,-0.7456547
